unique_post_id,content,stress,prescreen_score,prescreen_class_name
thread_15925701_starter,خانما یکی دو هفته بود چند روز یکبار نبض زیر شکم یا بالای نافم حس میکردم فکر میکنم بچه بود الان نیست باید نگران باشم ؟,2,4.211762622362585,High
359196232,"من هقته ۱۹ سرکلاژ کردم عزیزم ولی تا ۴۰ هفته دخترمو نگه داشتم. نترس دکتر راست میگه.
عمل ساده و سریعی هست بیهوشی داره
اصل کار استراحت و مراقبت بعد از عمله",1,3.205326262708695,Moderate
352137919,"من ده ساله ش‌هر دارم دومی هم حامله م
برگردم عقب‌بازم زا همین شخص ازدواج میکنم
مشکلاتی هست نمیگم نیس بالا پایین خیلیی دازه ولی خانوم خونه خودتی مادر بچه های خودتی
از لحاظ جنسی فقط با یک نفری و اونم فقط‌با شماس و سالمه
ولی تا کی مجردی؟به هر موفقیتی هم برسی آخرش خونواده خودش میخواد ادم
درسم ت شدرفتم سر کار ازدولج کردم",2,4.21241663204637,High
341449790,صددرصد کورتاژ راحتتره کمتر درد میکشی من تجربشو دارم بارداریم پوچ بود تو خونه سقط کردم چند روز درد کشیدم,2,3.195844526951795,Low
thread_14183128_starter,من تا الان ۱۳ کیلو اضافه کردم از ۶۸ شدم ۸۱ هفته بعد میخام برم دکتر میترسم کلی میخاد دعوام کنه حتما ک چرا اینقدر اضافه شدی چیکار کنم 🥲🥲💔بچها استرس میگیرم وقتی میرم رو ترازو از امروز هیچی نخورم یک هفته ینی بیشتر نمیشم,6,5.973675837330838,Very High
thread_11293496_جمره۲۲_1402/03/20 16:06,واقعا نه من هنوز آمادگی ندارم از زایمانم خیلی میترسم سزارین میخوام بشم یه موقع دل دردم شدید نشه ببرن طبیعی من سکته میکنم😂😂😂,4,3.204508084192639,Moderate
406156014,ببین من کلا فاز خانمهای جوان را نمیدونم چرا دنبال روشهایی میگردن خودشون را عیب دار کنن،قرص، آمپول،آی یو دی،که چی همسراشون منی بریزن تو واژن،بابا برا خودتون ارزش قایل بشین یه بسته کاندوم بخرین2،3ماهی راحت استفاده کنین،من خودم تو اقدام فقط اجازه ورود منی به داخل واژن را دادم، به اصرار همسرم2ماهی قرص خوردم هم خودم معذب بودم هم شوهرم نپسندید بازم رفتیم سراغ  کاندوم,2,4.192267576649101,Moderate
thread_17659719_starter,داروها همون همیشگی بودن . بعدش نمک خوردم خرما خوردم عسل حین دارو امروز استثنا خوردم . ولی هم چنان سر مال خودم نی انگار . گیج میزنم و سنگین شده فشارم خیلی افتاده,4,4.223864239182149,High
341539949,مثلن چی خوردی عزیزم؟ مگه سونووپیش دکتربرای مراقبت بارداری نرفتی وگفتن چیزی نیس منم نمیدونسم اول نگران بودم رفتم دکترگف چچیزی نیس داروهات مال سرماخوردگی وامپول وسرم بودن  . نگران نباش جانم,2,3.192997867732629,Low
thread_14374371_starter,"دوستان دوسال پیش رفتم خونه پدرم اینقدر اذیتم کردن خواهرم باهام حرف نمیزد پدرم باهام حرف نمیزد بلایی سرم اوردن ک ۲ ساله خونشون نرفتم تاپیکامو اگه بخونید میفهمید چطور حانواده ای دارم.
اونا سالی ۴ یا ۵ بار میان بابام حتی داخل خونه خودمم دعوام میکنه.
دوهفته پیش شوهرم کتکم زد پرده گوشم پاره شد و دوتا از دنده هام شکست من اصلا جریانو ب پدرم نگفتم بستری بودم پرسید چته گفتم سرم درد میکرده. الان عمم فوت شده و خانوادم از راه دور اومدن اینجا فاتحه خونی عمم راستش منم اینجا خانواده شوهرم تیکه میندازن همش میگن تو دوساله خونه بابات نرفتی اونا همش میان خونت.
از عید این سومین باره ک میان. خانوادم از فاتحه خونی برگشتن خونه ما پسرم منو هول داد یهو بابام برگشت گفت آینده پسرت معتاد میشه ادبت اشتباه بوده.
منم گفتم تو ب تربیت بچه من کاری نداشته باش برو خواهرمو ادب کن ۱۵ روز مجردی میره شمال تنهایی.
یهو خواهرم کلی بتوچه بتوچه بمن کرد.
بابامم بمن گفت پس توخوبی دوسپسراتو میاوردی خونه ؟
ب پهلوی شکسته حضرت زهرا من اینکاره نبودم بهم تهمت زد.
منم گفتم اومدید فاتحه خونی  پاشید برید همونجا  کی گفته خونه من بیایید اونام رفتن الان داغونم",9,5.995332486684674,Very High
